,ingresos,jefe_hogar,sexo,edad,estado_civil,escolaridad,time_traba,tipo_traba,horas_traba,sub_alimenta,sub_transpor,sub_fami,sub_edu,horastraba
694,-128,0,0,62,1,5,-4,1,48,2,1,2,2,48
695,-18,0,0,62,1,5,2,1,48,2,1,2,2,48
696,-32,0,0,62,1,5,60,1,48,2,1,2,2,48
697,-128,0,1,34,0,11,-4,1,48,2,1,2,2,48
698,-18,0,1,34,0,11,2,1,48,2,1,2,2,48
699,-32,0,1,34,0,11,60,1,48,2,1,2,2,48
700,-128,0,0,33,0,13,-4,1,48,2,1,2,2,48
701,-18,0,0,33,0,13,2,1,48,2,1,2,2,48
702,-32,0,0,33,0,13,60,1,48,2,1,2,2,48
703,-128,0,0,30,0,18,-4,1,48,2,1,2,2,48
704,-18,0,0,30,0,18,2,1,48,2,1,2,2,48
705,-32,0,0,30,0,18,60,1,48,2,1,2,2,48
706,-48,1,0,50,0,7,48,1,48,2,1,2,2,48
707,-48,0,0,31,0,11,48,1,48,2,1,2,2,48
708,-48,0,0,23,0,12,48,1,48,2,1,2,2,48
709,-48,0,0,83,0,3,48,1,48,2,1,2,2,48
710,64,1,1,60,0,5,36,1,48,2,1,2,2,48
711,-128,1,1,64,1,16,24,1,48,2,1,2,1,48
712,64,1,1,64,1,16,24,4,40,0,0,0,0,40
713,-128,0,0,61,1,16,24,1,48,2,1,2,1,48
714,64,0,0,61,1,16,24,4,40,0,0,0,0,40
715,-128,0,0,38,0,13,24,1,48,2,1,2,1,48
716,64,0,0,38,0,13,24,4,40,0,0,0,0,40
717,-128,0,1,31,0,16,24,1,48,2,1,2,1,48
718,64,0,1,31,0,16,24,4,40,0,0,0,0,40
719,-128,0,0,25,0,18,24,1,48,2,1,2,1,48
720,64,0,0,25,0,18,24,4,40,0,0,0,0,40
721,-32,1,1,27,1,11,1,1,48,1,1,1,2,48
722,-32,1,1,27,1,11,48,1,48,2,1,1,2,48
723,-32,0,0,27,1,12,1,1,48,1,1,1,2,48
724,-32,0,0,27,1,12,48,1,48,2,1,1,2,48
725,32,1,0,44,1,11,36,4,60,0,0,0,0,60
726,32,0,1,22,0,11,36,4,60,0,0,0,0,60
727,-32,1,1,62,1,5,7,1,48,2,1,2,2,48
728,-32,0,0,61,1,9,7,1,48,2,1,2,2,48
729,-32,0,0,38,0,13,7,1,48,2,1,2,2,48
730,-32,0,0,33,0,13,7,1,48,2,1,2,2,48
731,-64,1,1,26,1,11,1,1,48,2,2,2,2,48
732,-64,0,0,33,1,7,1,1,48,2,2,2,2,48
733,32,1,0,60,1,3,1,4,4,0,0,0,0,4
734,32,0,1,49,1,9,1,4,4,0,0,0,0,4
735,32,0,1,28,0,8,1,4,4,0,0,0,0,4
736,-18,1,1,29,0,11,12,1,48,2,1,2,2,48
737,-18,0,0,25,0,13,12,1,48,2,1,2,2,48
738,80,1,1,27,0,8,6,4,8,0,0,0,0,8
739,80,0,0,47,0,8,6,4,8,0,0,0,0,8
740,-18,1,0,73,0,8,-16,1,52,2,2,2,2,52
741,-18,1,0,73,0,8,-48,1,48,2,2,1,2,48
742,-18,1,0,73,0,8,18,1,48,2,1,2,2,48
743,-18,0,1,42,0,12,-16,1,52,2,2,2,2,52
744,-18,0,1,42,0,12,-48,1,48,2,2,1,2,48
745,-18,0,1,42,0,12,18,1,48,2,1,2,2,48
746,-18,1,1,39,1,11,-16,1,52,2,2,2,2,52
747,-18,1,1,39,1,11,-48,1,48,2,2,1,2,48
748,-18,1,1,39,1,11,18,1,48,2,1,2,2,48
749,-18,0,0,40,1,11,-16,1,52,2,2,2,2,52
750,-18,0,0,40,1,11,-48,1,48,2,2,1,2,48
751,-18,0,0,40,1,11,18,1,48,2,1,2,2,48
752,-18,0,1,21,0,11,-16,1,52,2,2,2,2,52
753,-18,0,1,21,0,11,-48,1,48,2,2,1,2,48
754,-18,0,1,21,0,11,18,1,48,2,1,2,2,48
755,0,1,1,60,0,8,-32,4,40,0,0,0,0,40
